slug,type,vertical,brand_a,brand_b,clicks,verdict,notes
willow-vs-urway-health,comparison,GLP-1,willow,urway-health,0,CUT (no demand),partner Willow vs rival urway-health
willow-vs-prime-health,comparison,GLP-1,willow,prime-health,0,CUT (no demand),partner Willow vs rival prime-health
willow-vs-reflexmd,comparison,GLP-1,willow,reflexmd,0,CUT (no demand),partner Willow vs rival reflexmd
willow-vs-dr-house,comparison,GLP-1,willow,dr-house,0,CUT (no demand),partner Willow vs rival dr-house
willow-vs-fella,comparison,GLP-1,willow,fella,0,CUT (no demand),partner Willow vs rival fella
willow-vs-tuyo-health,comparison,GLP-1,willow,tuyo-health,0,CUT (no demand),partner Willow vs rival tuyo-health
plushcare-vs-yucca-health,comparison,GLP-1,plushcare,yucca-health,0,CUT (no demand),partner Yucca Health vs rival plushcare
plushcare-vs-elevate-health,comparison,GLP-1,plushcare,elevate-health,0,CUT (no demand),partner Elevate Health vs rival plushcare
plushcare-vs-skinny-rx,comparison,GLP-1,plushcare,skinny-rx,0,CUT (no demand),partner SkinnyRx vs rival plushcare
plushcare-vs-enhance-md,comparison,GLP-1,plushcare,enhance-md,0,CUT (no demand),partner Enhance MD vs rival plushcare
plushcare-vs-maximus,comparison,GLP-1,plushcare,maximus,0,CUT (no demand),partner Maximus vs rival plushcare
plushcare-vs-fridays,comparison,GLP-1,plushcare,fridays,0,CUT (no demand),partner JoinFridays vs rival plushcare
plushcare-vs-willow,comparison,GLP-1,plushcare,willow,0,CUT (no demand),partner Willow vs rival plushcare
direct-meds-vs-hone,comparison,GLP-1,direct-meds,hone,0,CUT (no demand),partner Directmeds vs rival hone
direct-meds-vs-peter-md,comparison,GLP-1,direct-meds,peter-md,0,CUT (no demand),partner Directmeds vs rival peter-md
direct-meds-vs-mystart,comparison,GLP-1,direct-meds,mystart,0,CUT (no demand),partner Directmeds vs rival mystart
direct-meds-vs-hims,comparison,GLP-1,direct-meds,hims,0,CUT (no demand),partner Directmeds vs rival hims
direct-meds-vs-bmi-md,comparison,GLP-1,direct-meds,bmi-md,0,CUT (no demand),partner Directmeds vs rival bmi-md
direct-meds-vs-urway-health,comparison,GLP-1,direct-meds,urway-health,0,CUT (no demand),partner Directmeds vs rival urway-health
direct-meds-vs-prime-health,comparison,GLP-1,direct-meds,prime-health,0,CUT (no demand),partner Directmeds vs rival prime-health
direct-meds-vs-reflexmd,comparison,GLP-1,direct-meds,reflexmd,0,CUT (no demand),partner Directmeds vs rival reflexmd
direct-meds-vs-dr-house,comparison,GLP-1,direct-meds,dr-house,0,CUT (no demand),partner Directmeds vs rival dr-house
direct-meds-vs-fella,comparison,GLP-1,direct-meds,fella,0,CUT (no demand),partner Directmeds vs rival fella
direct-meds-vs-tuyo-health,comparison,GLP-1,direct-meds,tuyo-health,0,CUT (no demand),partner Directmeds vs rival tuyo-health
direct-meds-vs-plushcare,comparison,GLP-1,direct-meds,plushcare,0,CUT (no demand),partner Directmeds vs rival plushcare
clinic-secret-vs-yucca-health,comparison,GLP-1,clinic-secret,yucca-health,0,CUT (no demand),partner Yucca Health vs rival clinic-secret
clinic-secret-vs-elevate-health,comparison,GLP-1,clinic-secret,elevate-health,0,CUT (no demand),partner Elevate Health vs rival clinic-secret
clinic-secret-vs-skinny-rx,comparison,GLP-1,clinic-secret,skinny-rx,0,CUT (no demand),partner SkinnyRx vs rival clinic-secret
clinic-secret-vs-enhance-md,comparison,GLP-1,clinic-secret,enhance-md,0,CUT (no demand),partner Enhance MD vs rival clinic-secret
clinic-secret-vs-maximus,comparison,GLP-1,clinic-secret,maximus,0,CUT (no demand),partner Maximus vs rival clinic-secret
clinic-secret-vs-fridays,comparison,GLP-1,clinic-secret,fridays,0,CUT (no demand),partner JoinFridays vs rival clinic-secret
clinic-secret-vs-willow,comparison,GLP-1,clinic-secret,willow,0,CUT (no demand),partner Willow vs rival clinic-secret
clinic-secret-vs-direct-meds,comparison,GLP-1,clinic-secret,direct-meds,0,CUT (no demand),partner Directmeds vs rival clinic-secret
sesame-care-vs-hone,comparison,GLP-1,sesame-care,hone,0,CUT (no demand),partner Sesame Care vs rival hone
sesame-care-vs-peter-md,comparison,GLP-1,sesame-care,peter-md,0,CUT (no demand),partner Sesame Care vs rival peter-md
sesame-care-vs-mystart,comparison,GLP-1,sesame-care,mystart,0,CUT (no demand),partner Sesame Care vs rival mystart
sesame-care-vs-hims,comparison,GLP-1,sesame-care,hims,0,CUT (no demand),partner Sesame Care vs rival hims
sesame-care-vs-bmi-md,comparison,GLP-1,sesame-care,bmi-md,0,CUT (no demand),partner Sesame Care vs rival bmi-md
sesame-care-vs-urway-health,comparison,GLP-1,sesame-care,urway-health,0,CUT (no demand),partner Sesame Care vs rival urway-health
sesame-care-vs-prime-health,comparison,GLP-1,sesame-care,prime-health,0,CUT (no demand),partner Sesame Care vs rival prime-health
sesame-care-vs-reflexmd,comparison,GLP-1,sesame-care,reflexmd,0,CUT (no demand),partner Sesame Care vs rival reflexmd
sesame-care-vs-dr-house,comparison,GLP-1,sesame-care,dr-house,0,CUT (no demand),partner Sesame Care vs rival dr-house
sesame-care-vs-fella,comparison,GLP-1,sesame-care,fella,0,CUT (no demand),partner Sesame Care vs rival fella
sesame-care-vs-tuyo-health,comparison,GLP-1,sesame-care,tuyo-health,0,CUT (no demand),partner Sesame Care vs rival tuyo-health
sesame-care-vs-plushcare,comparison,GLP-1,sesame-care,plushcare,0,CUT (no demand),partner Sesame Care vs rival plushcare
sesame-care-vs-clinic-secret,comparison,GLP-1,sesame-care,clinic-secret,0,CUT (no demand),partner Sesame Care vs rival clinic-secret
sprout-health-vs-hone,comparison,GLP-1,sprout-health,hone,0,CUT (no demand),partner Sprout Health vs rival hone
sprout-health-vs-peter-md,comparison,GLP-1,sprout-health,peter-md,0,CUT (no demand),partner Sprout Health vs rival peter-md
sprout-health-vs-mystart,comparison,GLP-1,sprout-health,mystart,0,CUT (no demand),partner Sprout Health vs rival mystart
sprout-health-vs-hims,comparison,GLP-1,sprout-health,hims,0,CUT (no demand),partner Sprout Health vs rival hims
sprout-health-vs-bmi-md,comparison,GLP-1,sprout-health,bmi-md,0,CUT (no demand),partner Sprout Health vs rival bmi-md
sprout-health-vs-urway-health,comparison,GLP-1,sprout-health,urway-health,0,CUT (no demand),partner Sprout Health vs rival urway-health
sprout-health-vs-prime-health,comparison,GLP-1,sprout-health,prime-health,0,CUT (no demand),partner Sprout Health vs rival prime-health
sprout-health-vs-reflexmd,comparison,GLP-1,sprout-health,reflexmd,0,CUT (no demand),partner Sprout Health vs rival reflexmd
sprout-health-vs-dr-house,comparison,GLP-1,sprout-health,dr-house,0,CUT (no demand),partner Sprout Health vs rival dr-house
sprout-health-vs-fella,comparison,GLP-1,sprout-health,fella,0,CUT (no demand),partner Sprout Health vs rival fella
sprout-health-vs-tuyo-health,comparison,GLP-1,sprout-health,tuyo-health,0,CUT (no demand),partner Sprout Health vs rival tuyo-health
sprout-health-vs-clinic-secret,comparison,GLP-1,sprout-health,clinic-secret,0,CUT (no demand),partner Sprout Health vs rival clinic-secret
medvi-vs-hone,comparison,GLP-1,medvi,hone,0,CUT (no demand),partner MedVi vs rival hone
medvi-vs-peter-md,comparison,GLP-1,medvi,peter-md,0,CUT (no demand),partner MedVi vs rival peter-md
medvi-vs-mystart,comparison,GLP-1,medvi,mystart,0,CUT (no demand),partner MedVi vs rival mystart
medvi-vs-bmi-md,comparison,GLP-1,medvi,bmi-md,0,CUT (no demand),partner MedVi vs rival bmi-md
medvi-vs-urway-health,comparison,GLP-1,medvi,urway-health,0,CUT (no demand),partner MedVi vs rival urway-health
medvi-vs-prime-health,comparison,GLP-1,medvi,prime-health,0,CUT (no demand),partner MedVi vs rival prime-health
medvi-vs-reflexmd,comparison,GLP-1,medvi,reflexmd,0,CUT (no demand),partner MedVi vs rival reflexmd
medvi-vs-dr-house,comparison,GLP-1,medvi,dr-house,0,CUT (no demand),partner MedVi vs rival dr-house
medvi-vs-fella,comparison,GLP-1,medvi,fella,0,CUT (no demand),partner MedVi vs rival fella
medvi-vs-tuyo-health,comparison,GLP-1,medvi,tuyo-health,0,CUT (no demand),partner MedVi vs rival tuyo-health
medvi-vs-plushcare,comparison,GLP-1,medvi,plushcare,0,CUT (no demand),partner MedVi vs rival plushcare
medvi-vs-clinic-secret,comparison,GLP-1,medvi,clinic-secret,0,CUT (no demand),partner MedVi vs rival clinic-secret
ro-co-vs-hone,comparison,GLP-1,ro-co,hone,0,CUT (no demand),partner Ro.co vs rival hone
ro-co-vs-peter-md,comparison,GLP-1,ro-co,peter-md,0,CUT (no demand),partner Ro.co vs rival peter-md
ro-co-vs-mystart,comparison,GLP-1,ro-co,mystart,0,CUT (no demand),partner Ro.co vs rival mystart
ro-co-vs-hims,comparison,GLP-1,ro-co,hims,0,CUT (no demand),partner Ro.co vs rival hims
ro-co-vs-bmi-md,comparison,GLP-1,ro-co,bmi-md,0,CUT (no demand),partner Ro.co vs rival bmi-md
ro-co-vs-urway-health,comparison,GLP-1,ro-co,urway-health,0,CUT (no demand),partner Ro.co vs rival urway-health
ro-co-vs-prime-health,comparison,GLP-1,ro-co,prime-health,0,CUT (no demand),partner Ro.co vs rival prime-health
ro-co-vs-reflexmd,comparison,GLP-1,ro-co,reflexmd,0,CUT (no demand),partner Ro.co vs rival reflexmd
ro-co-vs-dr-house,comparison,GLP-1,ro-co,dr-house,0,CUT (no demand),partner Ro.co vs rival dr-house
ro-co-vs-fella,comparison,GLP-1,ro-co,fella,0,CUT (no demand),partner Ro.co vs rival fella
ro-co-vs-tuyo-health,comparison,GLP-1,ro-co,tuyo-health,0,CUT (no demand),partner Ro.co vs rival tuyo-health
ro-co-vs-clinic-secret,comparison,GLP-1,ro-co,clinic-secret,0,CUT (no demand),partner Ro.co vs rival clinic-secret
futur-health-vs-yucca-health,comparison,GLP-1,futur-health,yucca-health,0,CUT (no demand),partner Yucca Health vs rival futur-health
futur-health-vs-elevate-health,comparison,GLP-1,futur-health,elevate-health,0,CUT (no demand),partner Elevate Health vs rival futur-health
futur-health-vs-skinny-rx,comparison,GLP-1,futur-health,skinny-rx,0,CUT (no demand),partner SkinnyRx vs rival futur-health
futur-health-vs-enhance-md,comparison,GLP-1,futur-health,enhance-md,0,CUT (no demand),partner Enhance MD vs rival futur-health
futur-health-vs-maximus,comparison,GLP-1,futur-health,maximus,0,CUT (no demand),partner Maximus vs rival futur-health
futur-health-vs-fridays,comparison,GLP-1,futur-health,fridays,0,CUT (no demand),partner JoinFridays vs rival futur-health
futur-health-vs-willow,comparison,GLP-1,futur-health,willow,0,CUT (no demand),partner Willow vs rival futur-health
futur-health-vs-direct-meds,comparison,GLP-1,futur-health,direct-meds,0,CUT (no demand),partner Directmeds vs rival futur-health
futur-health-vs-sesame-care,comparison,GLP-1,futur-health,sesame-care,0,CUT (no demand),partner Sesame Care vs rival futur-health
futur-health-vs-sprout-health,comparison,GLP-1,futur-health,sprout-health,0,CUT (no demand),partner Sprout Health vs rival futur-health
futur-health-vs-medvi,comparison,GLP-1,futur-health,medvi,0,CUT (no demand),partner MedVi vs rival futur-health
futur-health-vs-ro-co,comparison,GLP-1,futur-health,ro-co,0,CUT (no demand),partner Ro.co vs rival futur-health
ivim-health-vs-hone,comparison,GLP-1,ivim-health,hone,0,CUT (no demand),partner IVIM Health vs rival hone
ivim-health-vs-peter-md,comparison,GLP-1,ivim-health,peter-md,0,CUT (no demand),partner IVIM Health vs rival peter-md
ivim-health-vs-mystart,comparison,GLP-1,ivim-health,mystart,0,CUT (no demand),partner IVIM Health vs rival mystart
ivim-health-vs-hims,comparison,GLP-1,ivim-health,hims,0,CUT (no demand),partner IVIM Health vs rival hims
ivim-health-vs-bmi-md,comparison,GLP-1,ivim-health,bmi-md,0,CUT (no demand),partner IVIM Health vs rival bmi-md
ivim-health-vs-urway-health,comparison,GLP-1,ivim-health,urway-health,0,CUT (no demand),partner IVIM Health vs rival urway-health
ivim-health-vs-prime-health,comparison,GLP-1,ivim-health,prime-health,0,CUT (no demand),partner IVIM Health vs rival prime-health
ivim-health-vs-reflexmd-2,comparison,GLP-1,ivim-health,reflexmd-2,0,CUT (no demand),partner IVIM Health vs rival reflexmd-2
ivim-health-vs-reflexmd,comparison,GLP-1,ivim-health,reflexmd,0,CUT (no demand),partner IVIM Health vs rival reflexmd
ivim-health-vs-dr-house,comparison,GLP-1,ivim-health,dr-house,0,CUT (no demand),partner IVIM Health vs rival dr-house
ivim-health-vs-fella,comparison,GLP-1,ivim-health,fella,0,CUT (no demand),partner IVIM Health vs rival fella
ivim-health-vs-tuyo-health,comparison,GLP-1,ivim-health,tuyo-health,0,CUT (no demand),partner IVIM Health vs rival tuyo-health
ivim-health-vs-plushcare,comparison,GLP-1,ivim-health,plushcare,0,CUT (no demand),partner IVIM Health vs rival plushcare
ivim-health-vs-clinic-secret,comparison,GLP-1,ivim-health,clinic-secret,0,CUT (no demand),partner IVIM Health vs rival clinic-secret
ivim-health-vs-futur-health,comparison,GLP-1,ivim-health,futur-health,0,CUT (no demand),partner IVIM Health vs rival futur-health
mochi-health-vs-hone,comparison,GLP-1,mochi-health,hone,0,CUT (no demand),partner Mochi Health vs rival hone
mochi-health-vs-peter-md,comparison,GLP-1,mochi-health,peter-md,0,CUT (no demand),partner Mochi Health vs rival peter-md
mochi-health-vs-mystart,comparison,GLP-1,mochi-health,mystart,0,CUT (no demand),partner Mochi Health vs rival mystart
mochi-health-vs-hims,comparison,GLP-1,mochi-health,hims,0,CUT (no demand),partner Mochi Health vs rival hims
mochi-health-vs-bmi-md,comparison,GLP-1,mochi-health,bmi-md,0,CUT (no demand),partner Mochi Health vs rival bmi-md
mochi-health-vs-urway-health,comparison,GLP-1,mochi-health,urway-health,0,CUT (no demand),partner Mochi Health vs rival urway-health
mochi-health-vs-prime-health,comparison,GLP-1,mochi-health,prime-health,0,CUT (no demand),partner Mochi Health vs rival prime-health
mochi-health-vs-reflexmd,comparison,GLP-1,mochi-health,reflexmd,0,CUT (no demand),partner Mochi Health vs rival reflexmd
mochi-health-vs-dr-house,comparison,GLP-1,mochi-health,dr-house,0,CUT (no demand),partner Mochi Health vs rival dr-house
mochi-health-vs-fella,comparison,GLP-1,mochi-health,fella,0,CUT (no demand),partner Mochi Health vs rival fella
mochi-health-vs-tuyo-health,comparison,GLP-1,mochi-health,tuyo-health,0,CUT (no demand),partner Mochi Health vs rival tuyo-health
mochi-health-vs-plushcare,comparison,GLP-1,mochi-health,plushcare,0,CUT (no demand),partner Mochi Health vs rival plushcare
mochi-health-vs-clinic-secret,comparison,GLP-1,mochi-health,clinic-secret,0,CUT (no demand),partner Mochi Health vs rival clinic-secret
willow-vs-noom-for-glp-1-medications-why-willow-wins,comparison,GLP-1,willow,noom-for-glp-1-medications-why-willow-wins,0,CUT (no demand),partner Willow vs rival noom-for-glp-1-medications-why-willow-wins
hone-vs-yucca-health,comparison,GLP-1,hone,yucca-health,0,CUT (no demand),partner Yucca Health vs rival hone
peter-md-vs-yucca-health,comparison,GLP-1,peter-md,yucca-health,0,CUT (no demand),partner Yucca Health vs rival peter-md
mystart-vs-yucca-health,comparison,GLP-1,mystart,yucca-health,0,CUT (no demand),partner Yucca Health vs rival mystart
hims-vs-yucca-health,comparison,GLP-1,hims,yucca-health,0,CUT (no demand),partner Yucca Health vs rival hims
elevate-health-vs-hone,comparison,GLP-1,elevate-health,hone,0,CUT (no demand),partner Elevate Health vs rival hone
elevate-health-vs-peter-md,comparison,GLP-1,elevate-health,peter-md,0,CUT (no demand),partner Elevate Health vs rival peter-md
elevate-health-vs-mystart,comparison,GLP-1,elevate-health,mystart,0,CUT (no demand),partner Elevate Health vs rival mystart
elevate-health-vs-hims,comparison,GLP-1,elevate-health,hims,0,CUT (no demand),partner Elevate Health vs rival hims
bmi-md-vs-yucca-health,comparison,GLP-1,bmi-md,yucca-health,0,CUT (no demand),partner Yucca Health vs rival bmi-md
bmi-md-vs-elevate-health,comparison,GLP-1,bmi-md,elevate-health,0,CUT (no demand),partner Elevate Health vs rival bmi-md
skinny-rx-vs-hone,comparison,GLP-1,skinny-rx,hone,0,CUT (no demand),partner SkinnyRx vs rival hone
skinny-rx-vs-peter-md,comparison,GLP-1,skinny-rx,peter-md,0,CUT (no demand),partner SkinnyRx vs rival peter-md
skinny-rx-vs-mystart,comparison,GLP-1,skinny-rx,mystart,0,CUT (no demand),partner SkinnyRx vs rival mystart
skinny-rx-vs-hims,comparison,GLP-1,skinny-rx,hims,0,CUT (no demand),partner SkinnyRx vs rival hims
skinny-rx-vs-bmi-md,comparison,GLP-1,skinny-rx,bmi-md,0,CUT (no demand),partner SkinnyRx vs rival bmi-md
urway-health-vs-yucca-health,comparison,GLP-1,urway-health,yucca-health,0,CUT (no demand),partner Yucca Health vs rival urway-health
urway-health-vs-elevate-health,comparison,GLP-1,urway-health,elevate-health,0,CUT (no demand),partner Elevate Health vs rival urway-health
urway-health-vs-skinny-rx,comparison,GLP-1,urway-health,skinny-rx,0,CUT (no demand),partner SkinnyRx vs rival urway-health
prime-health-vs-yucca-health,comparison,GLP-1,prime-health,yucca-health,0,CUT (no demand),partner Yucca Health vs rival prime-health
prime-health-vs-elevate-health,comparison,GLP-1,prime-health,elevate-health,0,CUT (no demand),partner Elevate Health vs rival prime-health
prime-health-vs-skinny-rx,comparison,GLP-1,prime-health,skinny-rx,0,CUT (no demand),partner SkinnyRx vs rival prime-health
enhance-md-vs-hone,comparison,GLP-1,enhance-md,hone,0,CUT (no demand),partner Enhance MD vs rival hone
enhance-md-vs-peter-md,comparison,GLP-1,enhance-md,peter-md,0,CUT (no demand),partner Enhance MD vs rival peter-md
enhance-md-vs-mystart,comparison,GLP-1,enhance-md,mystart,0,CUT (no demand),partner Enhance MD vs rival mystart
enhance-md-vs-hims,comparison,GLP-1,enhance-md,hims,0,CUT (no demand),partner Enhance MD vs rival hims
enhance-md-vs-bmi-md,comparison,GLP-1,enhance-md,bmi-md,0,CUT (no demand),partner Enhance MD vs rival bmi-md
enhance-md-vs-urway-health,comparison,GLP-1,enhance-md,urway-health,0,CUT (no demand),partner Enhance MD vs rival urway-health
enhance-md-vs-prime-health,comparison,GLP-1,enhance-md,prime-health,0,CUT (no demand),partner Enhance MD vs rival prime-health
maximus-vs-hone,comparison,GLP-1,maximus,hone,0,CUT (no demand),partner Maximus vs rival hone
maximus-vs-peter-md,comparison,GLP-1,maximus,peter-md,0,CUT (no demand),partner Maximus vs rival peter-md
maximus-vs-mystart,comparison,GLP-1,maximus,mystart,0,CUT (no demand),partner Maximus vs rival mystart
maximus-vs-hims,comparison,GLP-1,maximus,hims,0,CUT (no demand),partner Maximus vs rival hims
maximus-vs-bmi-md,comparison,GLP-1,maximus,bmi-md,0,CUT (no demand),partner Maximus vs rival bmi-md
maximus-vs-urway-health,comparison,GLP-1,maximus,urway-health,0,CUT (no demand),partner Maximus vs rival urway-health
maximus-vs-prime-health,comparison,GLP-1,maximus,prime-health,0,CUT (no demand),partner Maximus vs rival prime-health
reflexmd-vs-yucca-health,comparison,GLP-1,reflexmd,yucca-health,0,CUT (no demand),partner Yucca Health vs rival reflexmd
reflexmd-vs-elevate-health,comparison,GLP-1,reflexmd,elevate-health,0,CUT (no demand),partner Elevate Health vs rival reflexmd
reflexmd-vs-skinny-rx,comparison,GLP-1,reflexmd,skinny-rx,0,CUT (no demand),partner SkinnyRx vs rival reflexmd
reflexmd-vs-enhance-md,comparison,GLP-1,reflexmd,enhance-md,0,CUT (no demand),partner Enhance MD vs rival reflexmd
reflexmd-vs-maximus,comparison,GLP-1,reflexmd,maximus,0,CUT (no demand),partner Maximus vs rival reflexmd
dr-house-vs-yucca-health,comparison,GLP-1,dr-house,yucca-health,0,CUT (no demand),partner Yucca Health vs rival dr-house
dr-house-vs-elevate-health,comparison,GLP-1,dr-house,elevate-health,0,CUT (no demand),partner Elevate Health vs rival dr-house
dr-house-vs-skinny-rx,comparison,GLP-1,dr-house,skinny-rx,0,CUT (no demand),partner SkinnyRx vs rival dr-house
dr-house-vs-enhance-md,comparison,GLP-1,dr-house,enhance-md,0,CUT (no demand),partner Enhance MD vs rival dr-house
dr-house-vs-maximus,comparison,GLP-1,dr-house,maximus,0,CUT (no demand),partner Maximus vs rival dr-house
fella-vs-yucca-health,comparison,GLP-1,fella,yucca-health,0,CUT (no demand),partner Yucca Health vs rival fella
fridays-vs-elevate-health,comparison,GLP-1,fridays,elevate-health,0,CUT (no demand),both partners JoinFridays/Elevate Health - cannibalizes
fridays-vs-enhance-md,comparison,GLP-1,fridays,enhance-md,0,CUT (no demand),both partners JoinFridays/Enhance MD - cannibalizes
fridays-vs-maximus,comparison,GLP-1,fridays,maximus,0,CUT (no demand),both partners JoinFridays/Maximus - cannibalizes
willow-vs-yucca-health,comparison,GLP-1,willow,yucca-health,0,CUT (no demand),both partners Willow/Yucca Health - cannibalizes
willow-vs-elevate-health,comparison,GLP-1,willow,elevate-health,0,CUT (no demand),both partners Willow/Elevate Health - cannibalizes
willow-vs-enhance-md,comparison,GLP-1,willow,enhance-md,0,CUT (no demand),both partners Willow/Enhance MD - cannibalizes
willow-vs-maximus,comparison,GLP-1,willow,maximus,0,CUT (no demand),both partners Willow/Maximus - cannibalizes
direct-meds-vs-yucca-health,comparison,GLP-1,direct-meds,yucca-health,0,CUT (no demand),both partners Directmeds/Yucca Health - cannibalizes
direct-meds-vs-elevate-health,comparison,GLP-1,direct-meds,elevate-health,0,CUT (no demand),both partners Directmeds/Elevate Health - cannibalizes
direct-meds-vs-skinny-rx,comparison,GLP-1,direct-meds,skinny-rx,0,CUT (no demand),both partners Directmeds/SkinnyRx - cannibalizes
direct-meds-vs-enhance-md,comparison,GLP-1,direct-meds,enhance-md,0,CUT (no demand),both partners Directmeds/Enhance MD - cannibalizes
direct-meds-vs-maximus,comparison,GLP-1,direct-meds,maximus,0,CUT (no demand),both partners Directmeds/Maximus - cannibalizes
direct-meds-vs-willow,comparison,GLP-1,direct-meds,willow,0,CUT (no demand),both partners Directmeds/Willow - cannibalizes
sesame-care-vs-yucca-health,comparison,GLP-1,sesame-care,yucca-health,0,CUT (no demand),both partners Sesame Care/Yucca Health - cannibalizes
sesame-care-vs-elevate-health,comparison,GLP-1,sesame-care,elevate-health,0,CUT (no demand),both partners Sesame Care/Elevate Health - cannibalizes
sesame-care-vs-skinny-rx,comparison,GLP-1,sesame-care,skinny-rx,0,CUT (no demand),both partners Sesame Care/SkinnyRx - cannibalizes
sesame-care-vs-enhance-md,comparison,GLP-1,sesame-care,enhance-md,0,CUT (no demand),both partners Sesame Care/Enhance MD - cannibalizes
sesame-care-vs-maximus,comparison,GLP-1,sesame-care,maximus,0,CUT (no demand),both partners Sesame Care/Maximus - cannibalizes
sesame-care-vs-fridays,comparison,GLP-1,sesame-care,fridays,0,CUT (no demand),both partners Sesame Care/JoinFridays - cannibalizes
sesame-care-vs-willow,comparison,GLP-1,sesame-care,willow,0,CUT (no demand),both partners Sesame Care/Willow - cannibalizes
sesame-care-vs-direct-meds,comparison,GLP-1,sesame-care,direct-meds,0,CUT (no demand),both partners Sesame Care/Directmeds - cannibalizes
sprout-health-vs-yucca-health,comparison,GLP-1,sprout-health,yucca-health,0,CUT (no demand),both partners Sprout Health/Yucca Health - cannibalizes
sprout-health-vs-elevate-health,comparison,GLP-1,sprout-health,elevate-health,0,CUT (no demand),both partners Sprout Health/Elevate Health - cannibalizes
sprout-health-vs-enhance-md,comparison,GLP-1,sprout-health,enhance-md,0,CUT (no demand),both partners Sprout Health/Enhance MD - cannibalizes
sprout-health-vs-maximus,comparison,GLP-1,sprout-health,maximus,0,CUT (no demand),both partners Sprout Health/Maximus - cannibalizes
sprout-health-vs-direct-meds,comparison,GLP-1,sprout-health,direct-meds,0,CUT (no demand),both partners Sprout Health/Directmeds - cannibalizes
sprout-health-vs-sesame-care,comparison,GLP-1,sprout-health,sesame-care,0,CUT (no demand),both partners Sprout Health/Sesame Care - cannibalizes
medvi-vs-elevate-health,comparison,GLP-1,medvi,elevate-health,0,CUT (no demand),both partners MedVi/Elevate Health - cannibalizes
medvi-vs-enhance-md,comparison,GLP-1,medvi,enhance-md,0,CUT (no demand),both partners MedVi/Enhance MD - cannibalizes
medvi-vs-maximus,comparison,GLP-1,medvi,maximus,0,CUT (no demand),both partners MedVi/Maximus - cannibalizes
medvi-vs-sesame-care,comparison,GLP-1,medvi,sesame-care,0,CUT (no demand),both partners MedVi/Sesame Care - cannibalizes
ro-co-vs-elevate-health,comparison,GLP-1,ro-co,elevate-health,0,CUT (no demand),both partners Ro.co/Elevate Health - cannibalizes
ro-co-vs-enhance-md,comparison,GLP-1,ro-co,enhance-md,0,CUT (no demand),both partners Ro.co/Enhance MD - cannibalizes
ro-co-vs-maximus,comparison,GLP-1,ro-co,maximus,0,CUT (no demand),both partners Ro.co/Maximus - cannibalizes
ro-co-vs-sesame-care-2,comparison,GLP-1,ro-co,sesame-care-2,0,CUT (no demand),both partners Ro.co/Sesame Care - cannibalizes
ro-co-vs-sesame-care,comparison,GLP-1,ro-co,sesame-care,0,CUT (no demand),both partners Ro.co/Sesame Care - cannibalizes
ivim-health-vs-yucca-health,comparison,GLP-1,ivim-health,yucca-health,0,CUT (no demand),both partners IVIM Health/Yucca Health - cannibalizes
